Province,Total_reported
Groningen,14
Flevoland,21
Groningen,2
Groningen,2
Flevoland,0
Fryslân,7
Fryslân,0
Fryslân,1
Fryslân,5
Fryslân,12
Fryslân,1
Fryslân,6
Fryslân,0
Fryslân,9
Fryslân,0
Fryslân,0
Fryslân,0
Drenthe,7
Drenthe,4
Drenthe,7
Drenthe,6
Drenthe,0
Overijssel,7
Overijssel,3
Overijssel,1
Overijssel,6
Overijssel,9
Overijssel,0
Overijssel,7
Overijssel,2
Overijssel,6
Overijssel,4
Overijssel,0
Flevoland,4
Overijssel,8
Overijssel,2
Overijssel,2
Overijssel,18
Overijssel,1
Flevoland,0
Overijssel,3
Overijssel,11
Gelderland,1
Gelderland,12
Gelderland,22
Gelderland,11
Gelderland,0
Gelderland,1
Gelderland,4
Gelderland,7
Gelderland,2
Gelderland,6
Gelderland,1
Gelderland,0
Gelderland,28
Gelderland,15
Gelderland,4
Gelderland,3
Gelderland,0
Gelderland,0
Gelderland,0
Gelderland,1
Gelderland,1
Gelderland,0
Gelderland,2
Gelderland,12
Gelderland,4
Gelderland,4
Gelderland,0
Gelderland,0
Gelderland,0
Gelderland,8
Gelderland,3
Gelderland,1
Gelderland,8
Gelderland,0
Gelderland,0
Gelderland,5
Gelderland,4
Gelderland,0
Gelderland,1
Gelderland,5
Flevoland,1
Utrecht,39
Utrecht,1
Utrecht,5
Utrecht,0
Utrecht,2
Utrecht,3
Utrecht,4
Utrecht,6
Utrecht,1
Utrecht,1
Utrecht,1
Utrecht,6
Utrecht,10
Utrecht,37
Utrecht,16
Utrecht,8
Utrecht,2
Utrecht,2
Utrecht,3
Utrecht,16
Noord-Holland,2
Noord-Holland,6
Noord-Holland,6
Noord-Holland,46
Noord-Holland,31
Noord-Holland,1
Noord-Holland,5
Noord-Holland,0
Noord-Holland,0
Noord-Holland,3
Noord-Holland,1
Noord-Holland,2
Noord-Holland,1
Noord-Holland,13
Noord-Holland,10
Noord-Holland,2
Noord-Holland,5
Noord-Holland,1
Noord-Holland,1
Noord-Holland,2
Noord-Holland,2
Noord-Holland,5
Noord-Holland,0
Noord-Holland,1
Noord-Holland,1
Noord-Holland,2
Noord-Holland,1
Noord-Holland,1
Noord-Holland,0
Noord-Holland,2
Noord-Holland,0
Noord-Holland,0
Noord-Holland,0
Noord-Holland,13
Noord-Holland,6
Noord-Holland,3
Noord-Holland,12
Zuid-Holland,2
Zuid-Holland,9
Zuid-Holland,5
Noord-Holland,0
Zuid-Holland,9
Zuid-Holland,6
Zuid-Holland,10
Zuid-Holland,7
Zuid-Holland,10
Zuid-Holland,64
Zuid-Holland,0
Zuid-Holland,4
Noord-Holland,0
Zuid-Holland,1
Zuid-Holland,13
Zuid-Holland,3
Zuid-Holland,3
Zuid-Holland,4
Zuid-Holland,2
Zuid-Holland,2
Zuid-Holland,9
Zuid-Holland,0
Zuid-Holland,1
Utrecht,4
Zuid-Holland,0
Zuid-Holland,5
Zuid-Holland,56
Zuid-Holland,5
Zuid-Holland,7
Zuid-Holland,0
Zuid-Holland,3
Zuid-Holland,4
Zuid-Holland,1
Zuid-Holland,2
Zuid-Holland,0
Utrecht,7
Zuid-Holland,21
Zuid-Holland,1
Zuid-Holland,6
Zeeland,3
Zeeland,5
Gelderland,0
Zeeland,2
Zeeland,1
Zeeland,10
Zeeland,0
Zeeland,5
Zeeland,1
Zeeland,5
Zeeland,2
Utrecht,4
Fryslân,10
Noord-Brabant,1
Noord-Brabant,1
Noord-Brabant,2
Noord-Brabant,5
Noord-Brabant,0
Noord-Brabant,2
Noord-Brabant,11
Noord-Brabant,2
Groningen,0
